time,dvol_open,dvol_close
2021-03-19 08:00:00+00:00,,
2021-03-19 09:00:00+00:00,,
2021-03-19 10:00:00+00:00,,
2021-03-19 11:00:00+00:00,,
2021-03-19 12:00:00+00:00,,
2021-03-19 13:00:00+00:00,,
2021-03-19 14:00:00+00:00,,
2021-03-19 15:00:00+00:00,,
2021-03-19 16:00:00+00:00,,
2021-03-19 17:00:00+00:00,,
2021-03-19 18:00:00+00:00,,
2021-03-19 19:00:00+00:00,,
2021-03-19 20:00:00+00:00,,
2021-03-19 21:00:00+00:00,,
2021-03-19 22:00:00+00:00,,
2021-03-19 23:00:00+00:00,,
2021-03-20 00:00:00+00:00,,
2021-03-20 01:00:00+00:00,,
2021-03-20 02:00:00+00:00,,
2021-03-20 03:00:00+00:00,,
2021-03-20 04:00:00+00:00,,
2021-03-20 05:00:00+00:00,,
2021-03-20 06:00:00+00:00,,
2021-03-20 07:00:00+00:00,,
2021-03-20 08:00:00+00:00,,
2021-03-20 09:00:00+00:00,,
2021-03-20 10:00:00+00:00,,
2021-03-20 11:00:00+00:00,,
2021-03-20 12:00:00+00:00,,
2021-03-20 13:00:00+00:00,,
2021-03-20 14:00:00+00:00,,
2021-03-20 15:00:00+00:00,,
2021-03-20 16:00:00+00:00,,
2021-03-20 17:00:00+00:00,,
2021-03-20 18:00:00+00:00,,
2021-03-20 19:00:00+00:00,,
2021-03-20 20:00:00+00:00,,
2021-03-20 21:00:00+00:00,,
2021-03-20 22:00:00+00:00,,
2021-03-20 23:00:00+00:00,,
2021-03-21 00:00:00+00:00,,
2021-03-21 01:00:00+00:00,,
2021-03-21 02:00:00+00:00,,
2021-03-21 03:00:00+00:00,,
2021-03-21 04:00:00+00:00,,
2021-03-21 05:00:00+00:00,,
2021-03-21 06:00:00+00:00,,
2021-03-21 07:00:00+00:00,,
2021-03-21 08:00:00+00:00,,
2021-03-21 09:00:00+00:00,,
2021-03-21 10:00:00+00:00,,
2021-03-21 11:00:00+00:00,,
2021-03-21 12:00:00+00:00,,
2021-03-21 13:00:00+00:00,,
2021-03-21 14:00:00+00:00,,
2021-03-21 15:00:00+00:00,,
